MSA,Year,Zillow_home_value_index
LA_MSA,2008,479416
LA_MSA,2009,422158
LA_MSA,2010,417525
LA_MSA,2011,393241
LA_MSA,2012,391958
LA_MSA,2013,452550
LA_MSA,2014,496241
LA_MSA,2015,529591
LA_MSA,2016,565766
LA_MSA,2017,605925
LA_MSA,2018,644675
NY_MSA,2008,413833
NY_MSA,2009,376141
NY_MSA,2010,364833
NY_MSA,2011,346291
NY_MSA,2012,335875
NY_MSA,2013,343966
NY_MSA,2014,356541
NY_MSA,2015,366583
NY_MSA,2016,380400
NY_MSA,2017,403358
NY_MSA,2018,424487
SF_MSA,2008,592466
SF_MSA,2009,528700
SF_MSA,2010,525033
SF_MSA,2011,482375
SF_MSA,2012,495008
SF_MSA,2013,602450
SF_MSA,2014,674841
SF_MSA,2015,755008
SF_MSA,2016,809950
SF_MSA,2017,865916
SF_MSA,2018,936325
